valid_at,pm2p5,relative_humidity,temperature,pressure,wind_speed,cloud_coverage
2022-04-29 23:45:29,20.58,52,15.05,1021,2.57,0
2022-04-29 23:30:37,12.42,52,15.05,1021,2.57,0
2022-04-29 23:00:37,13.7,52,15.05,1021,2.57,0
2022-04-29 22:45:30,15.15,50,15.53,1021,2.57,0
2022-04-29 22:00:28,8.77,50,15.53,1021,2.57,0
2022-04-29 21:15:44,7.39,53,15.46,1022,2.06,0
2022-04-29 21:00:31,8.63,53,15.46,1022,2.06,0
2022-04-29 20:45:38,6.54,55,15.7,1021,1.54,0
2022-04-29 20:15:34,7.26,55,15.7,1021,1.54,0
2022-04-29 20:00:47,12.72,55,15.7,1021,1.54,0
2022-04-29 19:15:52,12.57,47,18.08,1020,1.03,0
2022-04-29 19:00:31,8.07,47,18.08,1020,1.03,0
2022-04-29 18:30:31,4.84,42,19.61,1020,2.57,75
2022-04-29 18:15:56,6.82,42,19.61,1020,2.57,75
2022-04-29 18:00:40,14.01,42,19.61,1020,2.57,75
2022-04-29 17:30:39,5.71,40,21.34,1019,3.6,0
2022-04-29 17:15:52,5.29,40,21.34,1019,3.6,0
2022-04-29 17:00:30,9.77,40,21.34,1019,3.6,0
2022-04-29 16:30:27,4.75,39,22.03,1020,2.06,0
2022-04-29 16:15:30,5.27,39,22.03,1020,2.06,0
2022-04-29 16:00:47,10.92,39,22.03,1020,2.06,0
2022-04-29 15:45:35,10.47,38,21.9,1020,2.57,0
2022-04-29 15:30:33,7.95,38,21.9,1020,2.57,0
2022-04-29 15:00:50,4.68,38,21.9,1020,2.57,0
2022-04-29 14:16:15,5.52,35,22.4,1021,2.68,0
2022-04-29 13:45:40,4.22,35,21.79,1021,2.24,63
2022-04-29 13:30:31,8.0,35,21.79,1021,2.24,63
2022-04-29 13:15:43,7.98,35,21.79,1021,2.24,63
2022-04-29 13:00:31,6.24,35,21.79,1021,2.24,63
2022-04-29 12:30:33,8.42,36,21.27,1022,2.68,52
2022-04-29 11:45:55,11.74,37,20.56,1023,2.24,40
2022-04-29 11:30:33,11.33,37,20.56,1023,2.24,40
2022-04-29 11:15:29,7.81,37,20.56,1023,2.24,40
2022-04-29 11:01:02,7.6,37,20.56,1023,2.24,40
2022-04-29 10:45:32,13.58,37,20.19,1023,2.68,56
2022-04-29 10:15:58,7.18,37,20.19,1023,2.68,56
